,功率
456,1535.1
457,1555.8
458,1558.7
459,1541.9
460,1537.5
461,1557.0
462,1449.4
463,1533.1
464,1560.4
465,1387.5
466,1543.8
467,1397.2
468,1284.1
469,1200.8
470,1425.6
471,1015.9
472,1297.8
473,1193.8
474,1315.9
475,1553.9
476,1501.9
477,1405.6
478,1543.8
479,1430.5
480,1419.5
481,1474.7
482,1559.4
483,1546.7
484,1491.6
485,1151.1
486,1550.7
487,1541.7
488,1546.5
489,1119.3
490,1561.1
491,1490.5
492,1557.9
493,1565.5
494,1543.1
495,1533.1
496,1544.8
497,1439.1
498,1550.5
499,1537.3
500,1558.1
501,1286.0
502,1326.0
503,1369.0
504,1537.1
505,1559.2
506,1542.5
507,1548.8
508,1482.9
509,1543.6
510,1551.0
511,1557.3
512,1557.1
513,1556.2
514,1334.0
515,1549.0
516,1533.9
517,1551.0
518,1552.8
519,1538.5
520,1543.8
521,1541.7
522,1548.2
523,1211.7
524,1541.1
525,1539.8
526,1550.5
527,1447.5
528,1531.1
529,1557.7
530,1103.5
531,1539.8
532,1491.4
533,1500.4
534,1555.0
535,1444.6
536,1536.4
537,1542.5
538,1516.8
539,1437.6
540,1266.9
541,1317.0
542,1133.2
543,1230.2
544,1451.3
545,1558.7
546,1322.2
547,1067.7
548,1448.2
549,1547.6
550,1235.9
551,1554.7
552,1094.0
553,1326.2
554,1539.1
555,1550.5
556,1353.4
557,1249.6
558,1560.8
559,1558.7
560,1487.4
561,1533.0
562,1555.4
563,1482.1
564,1545.1
565,1539.4
566,1391.5
567,1542.5
568,1556.4
569,1553.0
570,1553.5
571,1553.1
572,1541.3
573,1542.5
574,1478.3
575,1553.3
576,1553.9
577,1545.7
578,1547.8
579,1547.2
580,1549.3
581,1533.9
582,1548.0
583,1532.2
584,1554.7
585,1561.0
586,1546.7
587,1505.0
588,1541.7
589,1545.5
590,1536.0
591,1553.3
592,1529.2
593,1546.9
594,1369.6
595,1548.6
596,1465.7
597,1129.6
598,1544.4
599,1464.4
600,1539.6
601,1213.4
602,1441.7
603,1358.7
604,1476.6
605,1561.0
606,1102.2
607,1572.0
608,1433.2
609,1543.1
610,1559.2
611,1551.2
612,1547.2
613,1092.5
614,1330.2
615,1178.2
616,1544.4
617,1131.7
618,1531.6
619,1559.4
620,1550.7
621,1542.1
622,1547.4
623,1554.1
624,1542.9
625,1535.2
626,1373.2
627,1198.0
628,1493.0
629,1550.7
630,1373.4
631,1167.9
632,766.1
633,1548.6
634,1551.2
635,1495.1
636,1541.5
637,1561.1
638,1554.9
639,1242.0
640,1100.7
641,1555.2
642,1548.6
643,1549.3
644,1539.1
645,1534.7
646,1557.3
647,1541.0
648,1541.0
649,1548.8
650,1536.2
651,1545.1
652,1543.4
653,1547.1
654,1562.5
655,1273.2
656,1552.0
657,1198.6
658,1545.5
659,1458.5
660,1548.2
661,1315.7
662,1558.1
663,1275.9
664,1384.8
665,1538.1
666,1529.2
667,1360.4
668,1540.6
669,1553.0
670,1550.1
671,1550.3
672,1551.4
673,1546.5
674,1553.9
675,1413.8
676,1208.7
677,1552.8
678,1542.9
679,1148.1
680,1191.5
681,1233.0
682,1155.5
683,1083.0
684,1359.7
685,1183.7
686,1556.0
687,1429.9
688,1535.1
689,1567.4
690,1449.7
691,1541.0
692,1538.1
693,1486.3
694,1316.1
695,1210.4
696,1128.3
697,1548.2
698,1546.5
699,1556.6
700,1539.8
701,1561.9
702,1540.6
703,1551.6
704,1529.3
705,1561.7
706,1543.1
707,1563.4
708,1555.6
709,1541.9
710,1546.5
711,1559.8
712,1542.3
713,1549.3
714,1557.7
715,1556.6
716,1553.7
717,1557.1
718,1556.8
719,1545.7
720,1560.2
721,1566.9
722,1537.7
723,1548.6
724,1557.5
725,1554.5
726,1545.7
727,1545.1
728,1539.6
729,1544.6
730,1543.8
731,1538.1
732,1555.2
733,1546.1
734,1500.2
735,1542.5
736,1563.4
737,1551.0
738,1531.4
739,1552.2
740,1556.2
741,1567.0
742,1547.8
743,1511.1
744,1549.7
745,1542.5
746,1541.7
747,1551.4
748,1549.5
749,1554.1
750,1556.2
751,1540.4
752,1539.4
753,1535.2
754,1556.2
755,1565.0
756,1549.0
757,1537.1
758,1534.3
759,1552.4
760,1553.1
761,1546.9
762,1533.5
763,1548.0
764,1562.7
765,1546.9
766,1552.6
767,1555.2
768,1545.3
769,1563.2
770,1554.7
771,1551.6
772,1553.1
773,1540.8
774,1554.7
775,1548.4
776,1543.1
777,1560.8
778,1553.7
779,1559.6
780,1561.9
781,1554.3
782,1551.8
783,1549.7
784,1552.6
785,1471.8
786,1396.4
787,1553.0
788,1108.7
789,903.0
790,729.2
791,851.8
792,1350.7
793,1538.7
794,1296.3
795,1101.1
796,1532.8
797,921.1
798,1010.8
799,1551.0
800,1349.4
801,1557.3
802,1535.2
803,1535.8
804,1540.8
805,1401.6
806,1560.2
807,1546.9
808,1541.1
809,1554.7
810,1324.8
811,1550.3
812,1275.1
813,1210.8
814,1030.6
815,1499.8
816,1394.5
817,1508.6
818,1554.1
819,1549.5
820,1549.9
821,1227.3
822,1547.1
823,1549.1
824,1560.8
825,1536.8
826,1543.1
827,1556.2
828,1095.2
829,1383.9
830,1266.5
831,1025.3
832,1553.5
833,1321.0
834,1518.9
835,746.5
836,1131.2
837,1553.1
838,1558.3
839,1356.8
840,948.7
841,1548.8
842,1549.5
843,1535.8
844,1553.3
845,1241.8
846,1542.5
847,1549.1
848,1332.6
849,1561.1
850,1558.5
851,1262.9
852,1543.6
853,1355.9
854,1544.2
855,1290.2
856,1553.1
857,1572.9
858,1550.9
859,1536.0
860,1551.4
861,1565.7
862,1538.9
863,1529.0
864,1448.0
865,1549.3
866,1557.0
867,1547.1
868,1541.1
869,1536.6
870,1556.8
871,1553.7
872,1545.1
873,1548.4
874,1555.0
875,1546.9
876,1554.5
877,1342.7
878,1551.8
879,1420.0
880,1560.2
881,1562.3
882,1548.4
883,1553.3
884,1552.6
885,995.9
886,1213.6
887,1536.6
888,1557.3
889,1562.1
890,1545.5
891,1536.6
892,1551.2
893,1546.1
894,1562.3
895,1163.1
896,1547.1
897,1546.7
898,1562.1
899,1555.6
900,1505.5
901,1547.1
902,1541.5
903,1551.8
904,1549.1
905,1548.4
906,1064.3
907,1493.7
908,1201.0
909,1549.3
910,1311.7
911,955.8
912,1078.8
913,782.1
914,1478.1
915,1424.4
916,1287.3
917,1558.7
918,1545.3
919,1547.6
920,1549.1
921,1511.1
922,1548.4
923,1557.1
924,1557.3
925,1545.0
926,1555.6
927,1368.0
928,1539.6
929,1540.8
930,1551.6
931,1554.3
932,1548.0
933,1553.5
934,1556.6
935,1551.2
936,1557.9
937,1562.9
938,1569.3
939,1306.0
940,1540.4
941,1537.5
942,1558.5
943,1557.1
944,1260.1
945,1558.1
946,1564.4
947,1558.7
948,1543.4
949,1545.5
950,1541.5
951,1533.0
952,1559.6
953,1553.5
954,1556.6
955,1560.0
956,1545.9
957,1560.2
958,1554.1
959,1524.4
960,1571.6
961,1552.0
962,1550.5
963,1553.3
964,1561.5
965,1552.4
966,1547.1
967,1558.5
968,1533.5
969,1569.1
970,1563.0
971,1547.2
972,1563.2
973,1562.5
974,1558.3
975,1555.8
976,1558.3
977,1548.4
978,1565.7
979,1556.2
980,1534.3
981,1538.3
982,1535.1
983,1546.5
984,1550.5
985,1561.9
986,1546.1
987,1547.2
988,1543.4
989,1537.3
990,1538.9
991,1564.0
992,1549.0
993,1554.7
994,1543.6
995,1546.7
996,1544.2
997,1567.8
998,1553.0
999,1555.6
1000,1563.8
1001,1548.6
1002,1542.1
1003,1561.5
1004,1542.5
1005,1540.2
1006,1542.9
1007,1551.8
1008,1535.8
1009,1541.1
1010,1549.5
1011,1544.6
1012,1553.7
1013,1540.8
1014,1540.6
1015,1540.8
1016,1552.0
1017,1538.1
1018,1554.5
1019,1551.6
1020,1546.9
1021,1542.9
1022,1542.3
1023,1536.2
1024,1559.8
1025,1563.8
1026,1555.6
1027,1564.4
1028,1353.2
1029,1559.8
1030,1550.9
1031,1546.5
1032,1558.3
1033,1551.8
1034,1543.6
1035,1452.8
1036,1560.2
1037,1560.0
1038,1539.8
1039,1564.4
1040,1549.5
1041,1347.9
1042,916.3
1043,1024.5
1044,1547.4
1045,1548.4
1046,1547.6
1047,1538.3
1048,1551.2
1049,1182.2
1050,1453.4
1051,1538.5
1052,1540.0
1053,1316.1
1054,1558.7
1055,1370.0
1056,1557.3
1057,1556.0
1058,1549.9
1059,1332.1
1060,1550.9
1061,1549.5
1062,1547.2
1063,1479.6
1064,1551.6
1065,1284.4
1066,1534.3
1067,1546.3
1068,1552.0
1069,1567.6
1070,1542.3
1071,1020.5
1072,1552.0
1073,1536.6
1074,1543.6
1075,1552.8
1076,1535.4
1077,1538.5
1078,1552.0
1079,1546.3
1080,1536.8
1081,1563.6
1082,1307.3
1083,1082.0
1084,1550.9
1085,1541.1
1086,1538.1
1087,1265.0
1088,1557.0
1089,1414.1
1090,1397.4
1091,1415.5
1092,1318.9
1093,1373.6
1094,1040.7
1095,1222.2
1096,1082.2
1097,1538.7
1098,1550.5
1099,1425.6
1100,1548.4
1101,1554.1
1102,1545.0
1103,1414.9
1104,1568.6
1105,1552.8
1106,1470.3
1107,1553.3
1108,1548.2
1109,1552.0
1110,1537.3
1111,1552.6
1112,1555.4
1113,1526.5
1114,1544.8
1115,1160.3
1116,1542.1
1117,1165.8
1118,1545.3
1119,1541.1
1120,1398.7
1121,1559.0
1122,1549.3
1123,1389.8
1124,1279.1
1125,1306.0
1126,1271.9
1127,1552.8
1128,728.6
1129,1284.4
1130,851.0
1131,1095.0
1132,758.5
1133,643.1
1134,1026.8
1135,758.7
1136,1238.7
1137,1537.5
1138,1442.9
1139,1364.4
1140,906.1
1141,1485.0
1142,755.4
1143,947.8
1144,1545.7
1145,1194.4
1146,921.3
1147,1553.9
1148,1468.2
1149,986.6
1150,1025.5
1151,1101.6
1152,1181.8
1153,1322.9
1154,1530.9
1155,713.9
1156,962.4
1157,1185.2
1158,720.6
1159,581.2
1160,560.8
1161,442.2
1162,497.2
1163,414.0
1164,617.8
1165,489.2
1166,278.0
1167,522.0
1168,368.1
1169,648.2
1170,293.8
1171,250.2
1172,197.7
1173,549.8
1174,341.1
1175,360.7
1176,244.1
1177,359.7
1178,144.7
1179,136.9
1180,170.4
1181,178.6
1182,303.7
1183,266.8
1184,156.0
1185,267.0
1186,192.3
1187,281.8
1188,370.4
1189,458.2
1190,356.3
1191,357.1
1192,576.8
1193,740.6
1194,644.8
1195,814.8
1196,1101.1
1197,673.2
1198,862.6
1199,1371.1
1200,737.7
1201,833.7
1202,1567.2
1203,1050.6
1204,1086.2
1205,1550.5
1206,1415.1
1207,1557.5
1208,1556.4
1209,1561.0
1210,1395.1
1211,1399.8
1212,1486.9
1213,1549.5
1214,1563.8
1215,1551.0
1216,1539.4
1217,1560.2
1218,1539.1
1219,1551.4
1220,1542.5
1221,1531.8
1222,1560.2
1223,1545.9
1224,1543.8
1225,1442.5
1226,1549.5
1227,1455.8
1228,1546.9
1229,1168.5
1230,1547.8
1231,1561.7
1232,1555.0
1233,1521.9
1234,1550.3
1235,1554.1
1236,1446.5
1237,1500.8
1238,1549.9
1239,1183.1
1240,1426.5
1241,1258.9
1242,1536.2
1243,1433.0
1244,1438.7
1245,1264.5
1246,1398.1
1247,1354.7
1248,1444.8
1249,1526.7
1250,1555.2
1251,1541.5
1252,1228.8
1253,1438.1
1254,1528.6
1255,1271.1
1256,1329.2
1257,1560.6
1258,1561.5
1259,1550.9
1260,1545.9
1261,1546.1
1262,1560.0
1263,1544.6
1264,1561.5
1265,1392.4
1266,1378.5
1267,1533.1
1268,1553.7
1269,1549.0
1270,1547.8
1271,1546.9
1272,1555.8
1273,1547.1
1274,1539.1
1275,1547.2
1276,1533.3
1277,1549.0
1278,1540.0
1279,1531.1
1280,1537.3
1281,1553.3
1282,1551.8
1283,1548.2
1284,1542.3
1285,1548.4
1286,1550.3
1287,1559.8
1288,1541.9
1289,1549.3
1290,1521.2
1291,1549.9
1292,1557.1
1293,1548.8
1294,1551.4
1295,1557.5
1296,1554.7
1297,1551.2
1298,1556.0
1299,1542.3
1300,1560.2
1301,1551.6
1302,1537.3
1303,1563.0
1304,1562.3
1305,1556.4
1306,1550.7
1307,1541.7
1308,1547.2
1309,1550.7
1310,1571.0
1311,1545.3
1312,1542.7
1313,1546.1
1314,1552.2
1315,1554.1
1316,1551.4
1317,1559.2
1318,1541.5
1319,1548.4
1320,1552.0
1321,1553.3
1322,1544.2
1323,1554.9
1324,1549.1
1325,1546.1
1326,1549.7
1327,1561.9
1328,1554.7
1329,1534.9
1330,1555.4
1331,1552.6
1332,1536.8
1333,1545.5
1334,1541.9
1335,1554.3
1336,1557.9
1337,1556.8
1338,1540.8
1339,1561.1
1340,1553.0
1341,1551.8
1342,1564.4
1343,1549.1
1344,1550.5
1345,1547.8
1346,1550.3
1347,1537.0
1348,1556.2
1349,1547.4
1350,1545.3
1351,1546.9
1352,1537.5
1353,1552.0
1354,1546.7
1355,1560.2
1356,1562.3
1357,1544.6
1358,1552.6
1359,1557.1
1360,1558.5
1361,1547.1
1362,1535.2
1363,1551.8
1364,1547.8
1365,1542.3
1366,1550.7
1367,1552.6
1368,1539.8
1369,1543.4
1370,1545.5
1371,1540.2
1372,1546.1
1373,1553.9
1374,1550.5
1375,1555.0
1376,1547.2
1377,1556.4
1378,1544.4
1379,1545.9
1380,1545.3
1381,1551.0
1382,1552.2
1383,1550.3
1384,1546.1
1385,1551.0
1386,1553.3
1387,1554.3
1388,1548.6
1389,1547.6
1390,1533.7
1391,1569.7
1392,1538.7
1393,1551.2
1394,1546.9
1395,1548.0
1396,1562.5
1397,1545.1
1398,1539.1
1399,1557.1
1400,1549.0
1401,1544.8
1402,1553.3
