,mw
525,944.897
526,874.349
527,798.767
528,740.348
529,710.149
530,686.267
531,683.81
532,697.088
533,736.321
534,785.351
535,805.001
536,762.963
537,713.066
538,682.388
539,666.783
540,664.331
541,703.165
542,737.275
543,797.717
544,874.098
545,945.034
546,990.024
547,1035.708
548,1067.585
549,1021.553
550,937.768
551,854.219
552,789.555
553,751.458
554,719.586
555,705.861
556,712.986
557,747.127
558,794.72
559,813.573
560,790.673
561,746.74
562,702.767
563,713.64
564,662.217
565,667.356
566,705.193
567,753.752
568,824.73
569,900.954
570,968.652
571,990.519
572,1020.494
573,967.796
574,881.5
575,803.756
576,746.133
577,706.485
578,692.472
579,684.457
580,691.279
581,732.814
582,787.163
583,815.164
584,780.838
585,764.391
586,770.907
587,773.318
588,805.121
589,772.874
590,730.535
591,736.271
592,795.636
593,860.911
594,902.171
595,961.088
596,986.145
597,941.244
598,868.265
599,801.924
600,734.52
601,716.593
602,692.612
603,684.683
604,704.514
605,722.466
606,796.442
607,845.855
608,845.55
609,849.542
610,893.198
611,884.721
612,836.737
613,839.535
614,897.013
615,840.589
616,779.439
617,922.281
618,948.363
619,958.937
620,969.184
621,931.658
622,868.51
623,802.38
624,769.008
625,702.056
626,679.754
627,672.809
628,676.148
629,697.638
630,712.158
631,715.31
632,683.25
633,647.896
634,593.628
635,565.256
636,542.884
637,539.441
638,557.252
639,577.993
640,645.045
641,723.987
642,800.742
643,855.56
644,914.088
645,888.571
646,839.714
647,784.557
648,724.095
649,688.957
650,670.913
651,659.202
652,652.191
653,675.964
654,669.94
655,718.601
656,732.973
657,728.613
658,766.109
659,766.119
660,736.889
661,697.979
662,683.695
663,715.268
664,716.59
665,783.199
666,817.66
667,872.182
668,913.728
669,873.073
670,811.068
671,755.299
672,719.979
673,697.495
674,689.917
675,688.199
676,713.893
677,770.615
678,836.614
679,843.072
680,779.16
681,709.458
682,656.133
683,620.543
684,620.583
685,628.562
686,642.309
687,684.061
688,728.389
689,870.518
690,944.797
691,997.568
692,992.675
693,944.112
694,858.328
695,782.784
696,741.071
697,729.125
698,699.723
