,mw
2037,1588.678
2038,1459.236
2039,1311.79
2040,1181.805
2041,1103.423
2042,1047.148
2043,1025.161
2044,1042.543
2045,1070.178
2046,1129.785
2047,1206.06
2048,1277.165
2049,1347.76
2050,1410.969
2051,1498.963
2052,1592.705
2053,1653.202
2054,1710.42
2055,1744.943
2056,1822.469
2057,1922.454
2058,1917.829
2059,1857.276
2060,1780.914
2061,1693.267
2062,1534.681
2063,1354.996
2064,1197.014
2065,1098.177
2066,1019.709
2067,991.112
2068,974.51
2069,990.203
2070,1041.793
2071,1139.265
2072,1221.386
2073,1302.073
2074,1382.164
2075,1460.598
2076,1539.625
2077,1607.901
2078,1698.242
2079,1792.354
2080,1898.026
2081,1982.655
2082,2013.824
2083,1944.836
2084,1833.536
2085,1745.403
2086,1576.899
2087,1409.078
2088,1256.914
2089,1156.301
2090,1089.153
2091,1056.057
2092,1047.124
2093,1052.017
2094,1131.091
2095,1247.699
2096,1350.772
2097,1462.927
2098,1562.576
2099,1662.044
2100,1730.846
2101,1795.31
2102,1857.568
2103,1934.439
2104,2021.77
2105,2090.762
2106,2101.168
2107,2001.93
2108,1893.941
2109,1798.283
2110,1630.304
2111,1449.306
2112,1294.089
2113,1181.973
2114,1101.517
2115,1055.025
2116,1043.209
2117,1048.39
2118,1101.035
2119,1221.829
2120,1333.84
2121,1483.565
2122,1582.1
2123,1706.41
2124,1785.669
2125,1868.626
2126,1950.774
2127,2023.288
2128,2098.484
2129,2163.422
2130,2150.896
2131,2049.19
2132,1954.252
2133,1876.911
2134,1734.154
2135,1578.735
2136,1426.254
2137,1299.401
2138,1226.32
2139,1165.124
2140,1135.655
2141,1122.483
2142,1123.108
2143,1265.718
2144,1418.405
2145,1564.701
2146,1710.394
2147,1817.978
2148,1923.222
2149,2019.771
2150,2096.936
2151,2136.118
2152,2055.606
2153,1915.864
2154,1743.059
2155,1633.158
2156,1589.631
2157,1536.687
2158,1461.792
2159,1340.567
2160,1235.055
2161,1154.003
2162,1092.969
2163,1055.424
2164,1035.339
2165,1017.162
2166,1042.167
2167,1142.04
2168,1254.125
2169,1358.145
2170,1470.215
2171,1521.507
2172,1582.807
2173,1618.5
2174,1659.51
2175,1748.071
2176,1836.449
2177,1899.551
2178,1891.211
2179,1801.793
2180,1682.736
2181,1593.409
2182,1437.122
2183,1247.398
2184,1108.994
2185,1009.24
2186,940.118
2187,897.324
2188,888.714
2189,907.479
2190,959.012
2191,1032.951
2192,1085.205
2193,1142.386
2194,1204.447
2195,1275.271
2196,1354.79
2197,1439.76
2198,1506.935
2199,1610.513
2200,1723.211
2201,1828.261
2202,1851.427
2203,1796.873
2204,1680.759
2205,1601.363
2206,1444.47
2207,1270.724
2208,1129.231
2209,1040.119
2210,981.77
2211,951.336
2212,944.067
2213,961.493
2214,1031.092
2215,1131.209
2216,1233.397
2217,1318.456
2218,1453.305
2219,1535.761
2220,1640.754
2221,1753.848
2222,1855.341
2223,1965.869
2224,2076.445
2225,2157.432
2226,2192.019
2227,2143.725
2228,2041.292
2229,1883.29
2230,1692.094
2231,1495.194
2232,1344.039
2233,1228.932
2234,1157.113
2235,1117.32
2236,1107.84
2237,1129.831
2238,1177.072
2239,1259.551
2240,1346.199
2241,1456.801
2242,1592.46
2243,1721.174
2244,1875.908
2245,1965.402
2246,2019.949
2247,2071.7
2248,2133.75
2249,2155.312
2250,2114.513
2251,2064.977
2252,1959.087
2253,1878.477
2254,1749.831
2255,1582.543
2256,1431.819
2257,1307.838
2258,1220.11
2259,1169.237
2260,1139.728
2261,1128.018
2262,1163.395
2263,1281.225
2264,1438.181
2265,1581.22
2266,1719.143
2267,1833.261
2268,1907.476
2269,1945.898
2270,1993.1
2271,2041.923
2272,2099.476
2273,2131.212
2274,2077.219
2275,1970.001
2276,1889.884
2277,1784.662
2278,1705.281
2279,1575.713
2280,1433.689
2281,1323.002
2282,1241.717
2283,1210.186
2284,1196.977
2285,1217.29
2286,1258.612
2287,1349.448
2288,1486.402
2289,1633.956
2290,1742.04
2291,1815.056
2292,1914.07
2293,2013.249
2294,2052.467
2295,2100.499
2296,2170.809
2297,2140.429
2298,2066.073
2299,2013.034
2300,1968.699
2301,1914.768
2302,1795.934
2303,1646.134
2304,1500.135
2305,1401.12
2306,1324.126
2307,1267.22
2308,1245.63
2309,1225.297
2310,1235.764
2311,1345.121
2312,1494.269
2313,1661.232
2314,1811.832
2315,1922.105
2316,1978.41
2317,2025.394
2318,1987.364
2319,1942.722
2320,1892.713
2321,1857.743
2322,1850.457
2323,1829.209
2324,1774.669
2325,1704.35
2326,1584.337
2327,1449.889
2328,1278.713
2329,1145.374
2330,1076.168
2331,1033.159
2332,1012.051
2333,995.691
2334,999.614
2335,1098.881
2336,1230.361
2337,1368.806
2338,1488.663
2339,1558.031
2340,1589.964
2341,1599.251
2342,1617.269
2343,1651.015
2344,1701.003
2345,1751.779
2346,1735.216
2347,1663.091
2348,1586.589
2349,1542.42
2350,1431.836
2351,1289.679
2352,1205.204
2353,1139.781
2354,1074.406
2355,1059.067
2356,1059.197
2357,1094.031
2358,1155.47
2359,1224.136
2360,1292.803
2361,1342.063
2362,1357.375
2363,1351.043
2364,1345.483
2365,1299.859
2366,1258.707
2367,1246.169
2368,1347.732
2369,1467.311
2370,1539.605
2371,1521.666
2372,1460.251
2373,1404.15
2374,1283.635
2375,1154.291
2376,1039.235
2377,960.136
2378,909.636
2379,885.92
2380,888.266
2381,911.779
2382,961.45
2383,1016.22
2384,1096.445
2385,1182.655
2386,1271.015
2387,1391.603
2388,1527.1
2389,1615.643
2390,1682.679
2391,1777.007
2392,1870.414
2393,1943.625
2394,1937.665
2395,1850.101
2396,1764.125
2397,1681.399
2398,1519.254
2399,1357.89
2400,1222.304
2401,1119.566
2402,1053.11
2403,1019.081
2404,1008.894
2405,1032.314
2406,1090.832
2407,1159.797
2408,1267.403
2409,1358.182
2410,1484.533
2411,1617.16
2412,1700.123
2413,1767.388
2414,1828.275
2415,1882.477
2416,1966.293
2417,2027.037
2418,2033.741
2419,1951.912
2420,1847.952
2421,1748.243
2422,1580.855
2423,1414.688
2424,1261.42
2425,1154.595
2426,1078.362
2427,1034.402
2428,1022.416
2429,1048.181
2430,1106.14
2431,1236.01
2432,1351.274
2433,1491.517
2434,1578.954
2435,1667.839
2436,1735.463
2437,1844.243
2438,1965.785
2439,1923.363
2440,1941.867
2441,1971.313
2442,1923.915
2443,1842.16
2444,1767.581
2445,1665.095
2446,1500.319
2447,1369.707
2448,1250.598
2449,1182.558
2450,1123.331
2451,1105.606
2452,1104.36
2453,1124.386
2454,1174.337
2455,1263.49
2456,1337.012
2457,1424.966
2458,1521.097
2459,1618.465
2460,1716.314
2461,1806.395
2462,1903.468
2463,1992.851
2464,2083.067
2465,2145.598
2466,2154.79
2467,2078.858
2468,1951.964
2469,1861.286
2470,1700.785
2471,1520.091
2472,1362.695
2473,1238.763
2474,1141.304
2475,1077.476
2476,1045.895
2477,1036.046
2478,1062.935
2479,1133.739
2480,1236.745
2481,1356.079
2482,1457.68
2483,1573.267
2484,1637.945
2485,1690.446
2486,1756.635
2487,1852.461
2488,1957.381
2489,2053.787
2490,2082.086
2491,2015.485
2492,1887.965
2493,1795.334
2494,1655.123
2495,1491.129
2496,1344.987
2497,1236.448
2498,1166.546
2499,1116.361
2500,1096.427
2501,1093.882
2502,1112.114
2503,1215.387
2504,1369.004
2505,1520.763
2506,1663.546
2507,1774.059
2508,1880.91
2509,1972.245
2510,2043.655
2511,2106.118
2512,2165.051
2513,2210.04
2514,2219.138
2515,2145.753
2516,2018.707
2517,1900.926
2518,1714.846
2519,1513.258
2520,1324.229
2521,1208.779
2522,1112.472
2523,1055.073
2524,1043.528
2525,1051.496
2526,1095.8
2527,1187.566
2528,1269.271
2529,1345.217
2530,1409.667
2531,1507.768
2532,1555.037
2533,1621.975
2534,1714.444
2535,1803.004
2536,1914.787
2537,2009.927
2538,2031.294
2539,1965.48
2540,1840.184
2541,1722.933
2542,1550.864
2543,1371.241
2544,1230.868
2545,1114.036
2546,1053.358
2547,1021.546
2548,1018.18
2549,1041.265
2550,1094.174
2551,1199.79
2552,1311.316
2553,1430.011
2554,1548.1
2555,1656.814
2556,1747.776
2557,1842.485
2558,1942.331
2559,2046.723
2560,2146.454
2561,2216.054
2562,2216.859
2563,2139.144
2564,2043.529
2565,1959.79
2566,1804.439
2567,1649.303
2568,1508.149
2569,1406.207
2570,1339.573
2571,1302.888
2572,1291.103
2573,1308.955
2574,1362.363
2575,1466.069
2576,1574.507
2577,1698.335
2578,1844.367
2579,1977.756
2580,2078.571
2581,2165.3
2582,2232.657
2583,2297.579
2584,2370.645
2585,2429.401
2586,2447.361
2587,2355.025
2588,2185.544
2589,2005.407
2590,1810.515
2591,1626.051
2592,1482.377
2593,1379.342
2594,1305.97
2595,1268.166
2596,1248.695
2597,1268.737
2598,1317.549
2599,1407.901
2600,1493.619
2601,1629.471
2602,1744.038
2603,1846.857
2604,1937.275
2605,2030.805
2606,2068.295
2607,2104.561
2608,2098.505
2609,2059.506
2610,1981.771
2611,1899.688
2612,1858.857
2613,1818.989
2614,1692.197
2615,1540.686
2616,1408.48
2617,1314.459
2618,1257.639
2619,1211.586
2620,1215.879
2621,1239.976
2622,1273.643
2623,1349.04
2624,1441.031
2625,1536.837
2626,1635.632
2627,1750.996
2628,1866.822
2629,1971.676
2630,2058.423
2631,2171.778
2632,2279.821
2633,2388.137
2634,2418.608
2635,2353.569
2636,2266.381
2637,2169.096
2638,2020.258
2639,1863.373
2640,1710.516
2641,1588.596
2642,1497.639
2643,1443.101
2644,1418.145
2645,1409.58
2646,1439.149
2647,1560.913
2648,1750.913
2649,1890.224
2650,2029.459
2651,2148.758
2652,2233.527
2653,2301.72
2654,2370.163
2655,2419.851
2656,2471.715
2657,2520.963
2658,2546.242
2659,2480.339
2660,2407.355
2661,2332.042
2662,2180.877
2663,2019.706
2664,1858.124
2665,1742.672
2666,1646.492
2667,1586.251
2668,1547.319
2669,1507.67
2670,1503.19
2671,1602.691
2672,1772.479
2673,1963.075
2674,2098.233
2675,2218.93
2676,2299.327
2677,2345.111
2678,2419.103
2679,2474.847
2680,2534.03
2681,2584.841
2682,2599.326
2683,2552.832
2684,2474.26
2685,2373.198
2686,2189.935
2687,2002.763
2688,1838.295
2689,1691.143
2690,1569.806
2691,1488.077
2692,1435.606
2693,1422.618
2694,1445.278
2695,1569.328
2696,1702.872
2697,1830.156
2698,1939.133
2699,2032.856
2700,2107.917
2701,2204.524
2702,2278.694
2703,2344.662
2704,2390.874
2705,2400.799
2706,2199.698
2707,2038.005
2708,1962.453
2709,1849.232
2710,1698.484
2711,1539.052
2712,1404.18
2713,1319.46
2714,1236.009
2715,1186.356
2716,1192.71
2717,1204.73
2718,1246.798
2719,1286.334
2720,1311.656
2721,1333.778
2722,1350.345
2723,1379.008
2724,1388.929
2725,1388.131
2726,1409.13
2727,1424.929
2728,1440.838
2729,1460.256
2730,1462.75
2731,1436.999
2732,1428.321
2733,1372.346
2734,1272.966
2735,1156.386
2736,1050.227
2737,987.344
2738,944.564
2739,918.653
2740,921.573
2741,959.491
2742,990.941
2743,1055.934
2744,1117.818
2745,1167.73
2746,1231.541
2747,1301.797
2748,1362.011
2749,1428.279
2750,1510.041
2751,1577.213
2752,1675.629
2753,1754.637
2754,1779.556
2755,1713.229
2756,1620.487
2757,1545.928
2758,1399.631
2759,1243.62
2760,1090.559
2761,1018.337
2762,951.86
2763,916.96
2764,915.615
2765,939.691
2766,983.228
2767,1070.507
2768,1127.391
2769,1182.761
2770,1287.83
2771,1409.42
2772,1515.984
2773,1555.128
2774,1669.17
2775,1730.301
2776,1733.559
2777,1795.061
2778,1762.513
2779,1679.616
2780,1648.017
2781,1557.433
2782,1387.721
2783,1251.649
2784,1123.975
2785,1033.48
2786,969.341
2787,936.541
2788,943.23
2789,963.394
2790,991.02
2791,1075.742
2792,1171.447
2793,1270.62
2794,1372.697
2795,1476.359
2796,1566.91
2797,1656.697
2798,1748.042
2799,1835.303
2800,1914.841
2801,1979.313
2802,1972.993
2803,1888.047
2804,1800.172
2805,1701.432
2806,1562.91
2807,1410.414
2808,1254.732
2809,1120.745
2810,1040.231
2811,995.505
2812,969.657
2813,968.783
2814,981.732
2815,1063.837
2816,1179.361
2817,1296.739
2818,1420.195
2819,1520.303
2820,1618.867
2821,1686.171
2822,1746.55
2823,1820.123
2824,1900.968
2825,1958.31
2826,1964.229
2827,1879.056
2828,1767.797
2829,1685.462
2830,1551.328
2831,1414.124
2832,1269.087
2833,1165.509
2834,1086.149
2835,1039.5
2836,1015.822
2837,1003.316
2838,1004.389
2839,1087.471
2840,1213.581
2841,1353.712
2842,1475.049
2843,1588.391
2844,1696.924
2845,1792.374
2846,1878.749
2847,1955.881
2848,2047.816
2849,2115.385
2850,2114.32
2851,2023.586
2852,1922.72
2853,1817.576
2854,1664.872
2855,1500.412
2856,1375.731
2857,1265.63
2858,1176.088
2859,1135.697
2860,1125.55
2861,1148.446
2862,1197.552
2863,1302.371
2864,1447.655
2865,1573.358
2866,1699.897
2867,1821.477
2868,1919.939
2869,1981.833
2870,2073.636
2871,2132.399
2872,2186.758
2873,2253.724
2874,2253.404
2875,2160.189
2876,2062.107
2877,1943.983
2878,1767.628
2879,1591.748
2880,1446.328
2881,1333.177
2882,1240.054
2883,1202.361
2884,1181.121
2885,1198.667
2886,1241.25
2887,1347.03
2888,1499.544
2889,1605.536
2890,1718.22
2891,1833.852
2892,1929.963
2893,2018.258
2894,2070.498
2895,2149.463
2896,2216.138
2897,2279.753
2898,2270.454
2899,2159.052
2900,2047.732
2901,1918.61
2902,1735.381
2903,1559.959
2904,1397.77
2905,1277.988
2906,1196.918
2907,1152.992
2908,1127.036
2909,1147.385
2910,1207.69
2911,1306.84
2912,1428.008
2913,1530.584
2914,1653.386
2915,1765.086
2916,1859.054
2917,1953.669
2918,2015.724
2919,2034.547
2920,2082.308
2921,2023.823
2922,1946.78
2923,1879.825
2924,1780.294
2925,1675.391
2926,1532.923
2927,1394.856
2928,1265.191
2929,1174.354
2930,1111.713
2931,1086.056
2932,1094.492
2933,1120.194
2934,1163.491
2935,1231.402
2936,1320.67
2937,1420.395
2938,1520.502
2939,1642.89
2940,1738.087
2941,1822.725
2942,1906.246
2943,1974.917
2944,1977.028
2945,1957.01
2946,1871.537
2947,1820.133
2948,1764.777
2949,1681.706
2950,1542.707
2951,1381.197
2952,1250.34
2953,1164.72
2954,1104.754
2955,1049.701
2956,1033.236
2957,1066.161
2958,1125.456
2959,1179.343
2960,1262.593
2961,1339.057
2962,1444.885
2963,1548.074
2964,1608.689
2965,1673.838
2966,1753.158
2967,1823.881
2968,1892.424
2969,1869.018
2970,1849.855
2971,1798.408
2972,1766.648
2973,1684.68
2974,1549.626
2975,1415.93
2976,1275.145
2977,1184.343
2978,1100.248
2979,1072.412
2980,1052.42
2981,1043.77
2982,1055.757
2983,1153.009
2984,1281.87
2985,1409.037
2986,1520.741
2987,1636.575
2988,1691.178
2989,1764.716
2990,1837.61
2991,1908.81
2992,1982.602
2993,2037.521
2994,2056.447
2995,1978.537
2996,1897.401
2997,1800.117
2998,1668.736
2999,1518.361
3000,1377.079
3001,1269.533
3002,1196.189
3003,1138.436
3004,1123.843
3005,1110.505
3006,1103.962
3007,1183.053
3008,1312.235
3009,1453.872
3010,1585.744
3011,1698.191
3012,1803.598
3013,1832.718
3014,1884.579
3015,1943.827
3016,2020.146
3017,2089.0
3018,2086.196
3019,2001.475
3020,1914.462
3021,1804.143
3022,1645.519
3023,1477.647
3024,1327.338
3025,1225.331
3026,1152.069
3027,1123.216
3028,1107.068
3029,1139.056
3030,1170.208
3031,1222.904
3032,1305.55
3033,1375.151
3034,1441.782
3035,1585.529
3036,1684.27
3037,1779.118
3038,1859.747
3039,1943.652
3040,1959.231
3041,1959.162
3042,1908.953
3043,1839.233
3044,1795.042
3045,1709.153
3046,1561.07
3047,1421.375
3048,1287.129
3049,1192.939
3050,1137.731
3051,1118.625
3052,1116.686
3053,1146.85
3054,1198.702
3055,1267.62
3056,1334.77
3057,1398.618
3058,1491.149
3059,1612.2
3060,1699.601
3061,1731.347
3062,1692.711
3063,1704.659
3064,1800.994
3065,1891.519
3066,1924.215
3067,1853.88
3068,1785.15
3069,1700.242
3070,1565.262
3071,1423.632
3072,1298.225
3073,1207.582
3074,1154.427
3075,1132.633
3076,1121.521
3077,1160.207
3078,1222.461
3079,1303.648
3080,1425.693
3081,1545.287
3082,1653.114
3083,1753.132
3084,1852.172
3085,1945.033
3086,2034.993
3087,2043.755
3088,2083.308
3089,2131.316
3090,2016.732
3091,1853.706
3092,1710.569
3093,1573.891
3094,1435.751
3095,1284.677
3096,1182.041
3097,1090.7
3098,1031.225
3099,1006.615
3100,995.875
3101,1030.465
3102,1084.612
3103,1161.213
3104,1238.443
3105,1308.122
3106,1391.528
3107,1508.942
3108,1618.133
3109,1721.857
3110,1804.461
3111,1883.547
3112,1979.453
3113,2052.166
3114,2051.001
3115,1944.441
3116,1849.63
3117,1745.255
3118,1574.559
3119,1427.414
3120,1294.566
3121,1195.103
3122,1124.697
3123,1085.729
3124,1068.01
3125,1080.321
3126,1113.385
3127,1185.146
3128,1276.338
3129,1373.494
3130,1469.828
3131,1561.746
3132,1659.374
3133,1755.819
3134,1818.876
3135,1861.447
3136,1923.445
3137,1951.201
3138,1952.027
3139,1858.221
3140,1775.199
3141,1675.756
3142,1537.668
3143,1390.829
3144,1240.066
3145,1135.142
3146,1055.065
3147,994.885
3148,966.484
3149,959.728
3150,961.497
3151,1018.584
3152,1099.451
3153,1180.595
3154,1248.428
3155,1321.078
3156,1392.394
3157,1475.678
3158,1549.298
3159,1610.074
3160,1702.135
3161,1766.862
3162,1784.875
3163,1704.968
3164,1622.785
3165,1530.513
3166,1408.485
3167,1282.865
3168,1147.382
3169,1051.058
3170,978.342
3171,931.711
3172,900.546
3173,904.633
3174,888.786
3175,942.462
3176,1002.472
3177,1076.361
3178,1149.183
3179,1205.396
3180,1295.845
3181,1369.65
3182,1449.027
3183,1540.327
3184,1622.441
3185,1712.622
3186,1729.831
3187,1657.431
3188,1572.758
3189,1476.094
3190,1328.617
3191,1176.753
3192,1058.442
3193,975.558
3194,935.407
3195,903.939
3196,906.277
3197,939.271
3198,983.106
3199,1060.842
3200,1136.371
3201,1220.171
3202,1289.52
3203,1368.87
3204,1463.919
3205,1560.236
3206,1661.672
3207,1766.736
3208,1866.003
3209,1952.67
3210,1943.021
3211,1839.894
3212,1777.113
3213,1668.879
3214,1525.97
3215,1388.474
3216,1254.822
3217,1170.632
3218,1110.25
3219,1104.528
3220,1097.825
3221,1134.619
3222,1190.836
3223,1238.308
3224,1358.976
3225,1435.878
3226,1507.492
3227,1590.247
3228,1590.385
3229,1553.536
3230,1541.82
3231,1542.058
3232,1538.527
3233,1567.526
3234,1582.923
3235,1576.604
3236,1578.684
3237,1523.49
3238,1413.129
3239,1291.325
3240,1186.041
3241,1113.062
3242,1077.776
3243,1043.756
3244,1042.728
3245,1086.854
3246,1142.976
3247,1211.159
3248,1304.444
3249,1380.473
3250,1459.964
3251,1503.849
3252,1499.1
3253,1521.097
3254,1542.603
3255,1563.259
3256,1568.209
3257,1565.212
3258,1578.163
3259,1557.149
3260,1546.424
3261,1481.3
3262,1373.06
3263,1248.265
3264,1145.969
3265,1066.353
3266,1024.318
3267,986.173
3268,983.666
3269,1030.048
3270,1089.968
3271,1147.706
3272,1219.923
3273,1284.902
3274,1339.248
3275,1430.424
3276,1502.335
3277,1582.736
3278,1649.64
3279,1707.303
3280,1750.467
3281,1780.968
3282,1741.283
3283,1673.493
3284,1649.357
3285,1568.094
3286,1439.563
3287,1299.916
3288,1179.705
3289,1103.115
3290,1050.3
3291,1018.759
3292,1019.036
3293,1054.012
3294,1113.887
3295,1180.835
3296,1283.833
3297,1396.151
3298,1497.873
3299,1616.028
3300,1669.93
3301,1733.143
3302,1836.327
3303,1913.246
3304,1962.985
3305,2029.926
3306,2018.784
3307,1938.719
3308,1882.635
3309,1787.798
3310,1654.907
3311,1517.459
3312,1380.493
3313,1280.374
3314,1214.451
3315,1179.071
3316,1165.13
3317,1176.798
3318,1187.659
3319,1254.006
3320,1374.368
3321,1488.127
3322,1618.648
3323,1711.937
3324,1797.005
3325,1884.38
3326,1967.801
3327,2036.976
3328,2100.564
3329,2150.011
3330,2142.28
3331,2064.081
3332,1996.639
3333,1884.814
3334,1742.478
3335,1595.729
3336,1463.504
3337,1349.716
3338,1268.804
3339,1225.486
3340,1206.087
3341,1214.675
3342,1210.017
3343,1264.341
3344,1376.714
3345,1513.35
3346,1668.121
3347,1805.51
3348,1913.824
3349,1995.262
3350,2019.05
3351,2056.559
3352,2107.508
3353,2122.268
3354,2116.322
3355,2038.907
3356,1961.375
3357,1842.475
3358,1691.938
3359,1523.08
3360,1381.533
3361,1281.499
3362,1229.717
3363,1198.694
3364,1216.524
3365,1240.649
3366,1295.009
3367,1392.645
3368,1476.438
3369,1629.404
3370,1744.075
3371,1873.598
3372,1972.288
3373,2075.724
3374,2124.49
3375,2171.624
3376,2176.266
3377,2128.489
3378,2085.291
3379,2002.437
3380,1944.02
3381,1829.054
3382,1678.492
3383,1524.172
3384,1395.411
3385,1294.602
3386,1230.227
3387,1184.554
3388,1169.814
3389,1195.26
3390,1232.7
3391,1321.253
3392,1444.921
3393,1545.725
3394,1633.968
3395,1736.902
3396,1843.672
3397,1948.655
3398,2021.331
3399,2081.618
3400,2142.801
3401,2121.236
3402,2106.857
3403,2048.964
3404,1998.379
3405,1872.195
3406,1711.767
3407,1563.331
3408,1436.184
3409,1354.133
3410,1285.134
3411,1227.739
3412,1222.131
3413,1257.178
3414,1298.316
3415,1321.98
3416,1389.783
3417,1544.385
3418,1649.147
3419,1759.366
3420,1863.328
3421,1947.258
3422,2032.15
3423,2113.172
3424,2178.384
3425,2232.568
3426,2203.978
3427,2084.829
3428,1986.639
3429,1879.298
3430,1722.032
3431,1545.896
3432,1415.695
3433,1316.62
3434,1251.584
3435,1227.704
3436,1217.284
3437,1231.663
3438,1281.936
3439,1374.582
3440,1467.522
3441,1577.73
3442,1644.476
3443,1753.11
3444,1879.655
3445,1999.409
3446,2088.271
3447,2149.346
3448,2222.921
3449,2268.935
3450,2253.757
3451,2154.766
3452,2071.157
3453,1943.414
3454,1780.26
3455,1612.762
3456,1460.011
3457,1324.634
3458,1229.871
3459,1179.191
3460,1155.813
3461,1162.315
3462,1254.568
3463,1260.019
3464,1311.306
3465,1303.249
3466,1377.726
3467,1386.5
3468,1375.272
3469,1358.859
3470,1330.403
3471,1280.185
3472,1262.109
3473,1258.14
3474,1271.525
3475,1271.449
3476,1294.507
3477,1254.672
3478,1182.25
3479,1108.739
3480,999.152
3481,921.404
3482,867.058
3483,843.103
3484,835.688
3485,847.083
3486,851.392
3487,888.185
3488,925.199
3489,954.796
3490,959.84
3491,965.954
3492,991.798
3493,1070.202
3494,1122.596
3495,1210.027
3496,1282.302
3497,1336.221
3498,1341.413
3499,1297.38
3500,1283.681
3501,1213.717
3502,1126.817
3503,1037.368
3504,944.997
3505,890.713
3506,841.073
3507,828.542
3508,814.023
3509,839.248
3510,838.766
3511,866.415
3512,899.18
3513,925.378
3514,977.236
3515,988.399
3516,984.252
3517,1023.976
3518,1053.73
3519,1115.28
3520,1163.68
3521,1225.017
3522,1240.603
3523,1227.772
3524,1238.118
3525,1181.319
3526,1094.391
3527,988.881
3528,910.776
3529,852.311
3530,819.178
3531,817.303
3532,830.906
3533,861.449
3534,923.746
3535,953.79
3536,969.714
3537,1007.172
3538,1039.636
3539,1068.423
3540,1074.144
3541,1046.644
3542,1045.506
3543,1075.207
3544,1145.649
3545,1222.988
3546,1237.374
3547,1232.775
3548,1239.299
3549,1172.587
3550,1070.387
3551,991.237
3552,900.023
3553,843.899
3554,813.199
3555,808.571
3556,812.59
3557,860.851
3558,907.784
3559,955.749
3560,983.486
3561,1025.533
3562,1046.3
3563,1037.219
3564,1045.887
3565,1086.488
3566,1136.898
3567,1195.522
3568,1258.161
3569,1305.204
3570,1323.285
3571,1332.767
3572,1338.848
3573,1282.694
3574,1194.376
3575,1097.48
3576,996.8
3577,931.234
3578,907.734
3579,889.997
3580,905.725
3581,945.665
3582,1008.999
3583,1066.751
3584,1107.502
3585,1143.812
3586,1184.967
3587,1277.471
3588,1345.364
3589,1404.84
3590,1495.576
3591,1521.1
3592,1573.756
3593,1606.528
3594,1596.625
3595,1573.965
3596,1556.318
3597,1474.682
3598,1358.254
3599,1237.679
3600,1123.236
3601,1041.289
3602,983.699
3603,943.409
3604,933.312
3605,941.725
3606,997.095
3607,1032.234
3608,1085.006
3609,1126.783
3610,1144.068
3611,1185.476
3612,1259.634
3613,1339.846
3614,1420.26
3615,1499.679
3616,1621.995
3617,1682.934
3618,1659.543
3619,1580.519
3620,1503.689
3621,1392.969
3622,1253.974
3623,1119.68
3624,1009.416
3625,923.388
3626,881.483
3627,861.432
3628,865.141
3629,903.0
3630,937.465
3631,985.024
3632,1070.894
3633,1112.316
3634,1182.441
3635,1247.181
3636,1340.865
3637,1442.624
3638,1571.128
3639,1665.528
3640,1778.754
3641,1848.766
3642,1839.543
3643,1748.7
3644,1695.844
3645,1579.315
3646,1470.967
3647,1327.535
3648,1196.609
3649,1098.862
3650,1028.956
3651,992.218
3652,970.22
3653,971.688
3654,981.03
3655,1045.444
3656,1135.101
3657,1214.549
3658,1284.665
3659,1321.398
3660,1381.866
3661,1431.967
3662,1519.074
3663,1600.489
3664,1663.408
3665,1711.188
3666,1673.574
3667,1591.189
3668,1530.307
3669,1429.459
3670,1313.995
3671,1194.235
3672,1066.533
3673,978.698
3674,939.143
3675,908.063
3676,886.733
3677,903.3
3678,915.049
3679,923.879
3680,1008.018
3681,1079.032
3682,1120.671
3683,1186.346
3684,1229.262
3685,1285.955
3686,1376.987
3687,1472.218
3688,1548.416
3689,1606.039
3690,1569.096
3691,1514.797
3692,1479.099
3693,1399.964
3694,1307.496
3695,1200.362
3696,1092.703
3697,1001.71
3698,957.906
3699,938.642
3700,925.744
3701,941.316
3702,973.876
3703,1008.095
3704,1098.706
3705,1202.783
3706,1324.249
3707,1418.142
3708,1515.372
3709,1615.132
3710,1653.709
3711,1706.703
3712,1782.733
3713,1855.155
3714,1783.437
3715,1700.578
3716,1637.565
3717,1533.334
3718,1392.053
3719,1261.855
3720,1155.97
3721,1088.521
3722,1032.178
3723,993.577
3724,985.53
3725,1012.637
3726,1068.498
3727,1119.762
3728,1150.765
3729,1200.351
3730,1245.75
3731,1306.452
3732,1367.459
3733,1426.973
3734,1503.382
3735,1590.001
3736,1685.623
3737,1747.171
3738,1721.104
3739,1635.597
3740,1566.995
3741,1437.143
3742,1300.342
3743,1164.754
3744,1061.713
3745,994.411
3746,952.201
3747,929.438
3748,944.153
3749,991.517
3750,1073.61
3751,1130.859
3752,1190.95
3753,1242.995
3754,1276.568
3755,1388.729
3756,1499.851
3757,1663.393
3758,1775.103
3759,1881.585
3760,1964.894
3761,2015.733
3762,1995.296
3763,1928.857
3764,1839.072
3765,1694.68
3766,1519.558
3767,1374.303
3768,1241.868
3769,1150.278
3770,1079.381
3771,1024.681
3772,1024.264
3773,1037.803
3774,1128.208
3775,1162.65
3776,1130.011
3777,1157.812
3778,1126.832
3779,1179.82
3780,1170.295
3781,1217.234
3782,1292.577
3783,1331.425
3784,1345.653
3785,1376.514
3786,1348.306
3787,1366.359
3788,1349.909
3789,1269.224
3790,1156.097
3791,1041.696
3792,965.599
3793,914.928
3794,875.866
3795,860.813
3796,876.411
3797,920.725
3798,1013.525
3799,1060.752
3800,1090.259
3801,1120.637
3802,1135.669
3803,1148.03
3804,1132.266
