date,site1,site2,site3,site4,site5,site6,site7,OT
2016/9/30 0:00,1157.5,1670.8,1650.3,899.28,834.18,956.69,720.9,1042
2016/9/30 0:15,1717.8,2605.9,2581,833.37,858.48,1044.7,837.07,1439
2016/9/30 0:30,2032.4,3121.7,3102,890.72,945.82,1122.1,959.78,1654
2016/9/30 0:45,2241.7,3445.1,3432.5,934.31,1028.9,1207.8,1082.4,1800.8
2016/9/30 1:00,2531.7,3847.9,3840.8,1059,1190.6,1382.1,1276.9,2036.4
2016/9/30 1:15,2726.4,4125.6,4124.3,1096.8,1271.6,1470.6,1403.2,2179.7
2016/9/30 1:30,2889.6,4344.6,4349.7,1144.1,1362.2,1558.3,1534.8,2305.2
2016/9/30 1:45,3036.5,4535.3,4546.5,1191.6,1450.4,1646.6,1663.5,2420.2
2016/9/30 2:00,3173.3,4708.7,4725.9,1235.4,1535.5,1731,1788.9,2528.5
2016/9/30 2:15,3303.7,4871.4,4894.4,1278.6,1619.4,1813.8,1912.8,2632.6
2016/9/30 2:30,3430.3,5027.2,5056.1,1321.7,1702.6,1895.7,2035.5,2734.3
2016/9/30 2:45,3555.1,5180,5214.9,1364.8,1785.6,1977.5,2157.7,2835.1
2016/9/30 3:00,3666.8,5315.5,5356.5,1399.5,1859.8,2049.5,2271.3,2923.5
2016/9/30 3:15,3765.4,5431.4,5478.8,1430.2,1929.9,2115.8,2380.5,3002
2016/9/30 3:30,3856,5534.8,5588.7,1459.7,1998.1,2179.5,2487.2,3074.7
2016/9/30 3:45,3943.4,5632.9,5693.3,1490.6,2066.5,2243.8,2593,3145.6
2016/9/30 4:00,4027.3,5726.1,5792.9,1519.6,2132.2,2305.7,2695.6,3213.6
2016/9/30 4:15,4107.8,5814.5,5887.9,1547.8,2196.2,2365.8,2796.1,3279.1
2016/9/30 4:30,4185.9,5899.5,5979.5,1575.5,2259.1,2424.8,2894.6,3342.7
2016/9/30 4:45,4262.3,5982.2,6068.8,1603.3,2320.9,2482.9,2991.3,3405.1
2016/9/30 5:00,4334.4,6059.5,6152.8,1628.5,2379.9,2538.1,3084.9,3463.6
2016/9/30 5:15,4402.5,6130.9,6230.9,1652.7,2437.9,2591.5,3177.5,3519.2
2016/9/30 5:30,4469.1,6199.5,6306.4,1677.3,2496.3,2645.2,3270.1,3573.8
2016/9/30 5:45,4534.9,6266.7,6380.5,1701.9,2554.6,2698.7,3362.6,3627.8
2016/9/30 6:00,4604.5,6338.8,6459.6,1729.4,2615.3,2755.2,3456.7,3685.8
2016/9/30 6:15,4677.2,6416,6543.7,1757.7,2675.3,2812,3549.1,3745.8
2016/9/30 6:30,4750.7,6495.3,6630,1785.9,2733.8,2868,3639.1,3806
2016/9/30 6:45,4822.9,6574,6715.7,1812.9,2790,2921.9,3725.9,3865
2016/9/30 7:00,4892.2,6649.3,6797.9,1838.7,2843.9,2973.6,3809.8,3921.1
2016/9/30 7:15,4958.7,6721,6876.6,1863.8,2896.4,3023.8,3891.6,3975.1
2016/9/30 7:30,5023.3,6790.1,6952.7,1888.4,2947.8,3073.1,3971.8,4027.5
2016/9/30 7:45,5086.5,6857.6,7027.2,1913,2998.5,3121.7,4050.7,4079
2016/9/30 8:00,5150,6925.6,7102.1,1938.2,3049.2,3170.6,4128.9,4130.9
