date,site1,site2,site3,site4,site5,site6,site7,OT
2017/9/30 16:00,4082.1,5578.5,5004.6,5107.8,5278.9,6575.3,6335.8,6166.5
2017/9/30 16:15,4118.2,5629.2,5046.7,5150.4,5324,6632.2,6389.7,6220.7
2017/9/30 16:30,4153.9,5679.4,5088.6,5192.9,5368.9,6688,6443.3,6274.1
2017/9/30 16:45,4189.6,5729.3,5130.2,5235.2,5413.6,6743.5,6496.7,6327.1
2017/9/30 17:00,4223.5,5777.2,5169.7,5275.3,5456.1,6796.2,6547.8,6377.8
2017/9/30 17:15,4256.2,5823.9,5207.4,5313.7,5496.9,6847.3,6596.1,6425.9
2017/9/30 17:30,4288.3,5869.8,5244.1,5351,5536.9,6897.2,6642.7,6472.5
2017/9/30 17:45,4320.4,5915.4,5280.4,5387.9,5576.5,6946.4,6688.3,6518.4
2017/9/30 18:00,4350.9,5959.2,5314.9,5422.9,5614.2,6993.4,6731.6,6562.4
2017/9/30 18:15,4380,6001.1,5347.5,5456,5650,7037.8,6772.2,6604
2017/9/30 18:30,4408.1,6041.5,5378.8,5487.8,5684.5,7079.7,6811,6644
2017/9/30 18:45,4435.6,6080.6,5409.2,5518.7,5718.2,7119.4,6848.6,6682.7
2017/9/30 19:00,4463.6,6119.1,5440.3,5550.2,5752.5,7157.7,6886.9,6721.8
2017/9/30 19:15,4491.4,6156.7,5471.6,5582.1,5787.2,7194.4,6926.3,6761.4
2017/9/30 19:30,4518.7,6193.3,5502.9,5613.9,5821.6,7229.6,6966.2,6801
2017/9/30 19:45,4545.3,6228.6,5533.6,5645.1,5855.3,7262.9,7006.1,6839.9
2017/9/30 20:00,4571.4,6263,5563.8,5675.9,5888.4,7295.1,7045.7,6878.2
2017/9/30 20:15,4597.2,6297,5593.7,5706.3,5921.3,7326.9,7085.1,6916
2017/9/30 20:30,4622.8,6330.6,5623.4,5736.4,5953.8,7358.4,7124.2,6953.5
2017/9/30 20:45,4648.2,6363.8,5652.8,5766.4,5986.2,7389.7,7163.1,6990.8
2017/9/30 21:00,4673.4,6396.7,5682.1,5796.2,6018.3,7420.6,7201.7,7027.9
2017/9/30 21:15,4698.4,6429.2,5711.3,5825.8,6050.3,7451.3,7240,7064.7
2017/9/30 21:30,4723.2,6461.3,5740.2,5855.3,6082.1,7481.8,7278.2,7101.4
2017/9/30 21:45,4747.8,6493.1,5769,5884.6,6113.6,7511.9,7316.1,7137.8
2017/9/30 22:00,4771,6523.6,5796.2,5912.3,6143.5,7541,7352.1,7172.6
2017/9/30 22:15,4793.3,6553.2,5822.1,5938.6,6172,7569.2,7385.9,7205.7
2017/9/30 22:30,4815.2,6582.2,5847.1,5964,6199.7,7596.7,7418.2,7237.7
2017/9/30 22:45,4836.9,6610.8,5871.8,5989.1,6227.1,7623.7,7449.6,7269.1
2017/9/30 23:00,4858.4,6638.8,5896.2,6013.9,6254.2,7650.2,7480.5,7300.2
2017/9/30 23:15,4879.5,6666.4,5920.3,6038.4,6281.1,7676.1,7510.8,7330.9
2017/9/30 23:30,4900.4,6693.4,5944.1,6062.6,6307.6,7701.4,7540.8,7361.3
2017/9/30 23:45,4920.9,6720,5967.7,6086.6,6333.8,7726.3,7570.5,7391.3
2017/10/1 0:00,4942.4,6747,5992.5,6111.8,6361.3,7751.5,7601.4,7422.5
2017/10/1 0:15,4964.3,6774,6018.3,6137.9,6389.7,7776.7,7634,7454.9
