date,site1,site2,site3,site4,site5,site6,site7,OT
2016/9/30 0:00,1459.7,1178.3,1285.9,843.09,843.09,7540.3,3675.6,1321.6
2016/9/30 0:15,2396.6,1810.1,2069.5,1271.3,1271.3,8487.4,4324.2,1917.9
2016/9/30 0:30,3061.3,2237.9,2585.7,1638.5,1638.5,8856,4692.2,2319.5
2016/9/30 0:45,3550.5,2583,2956.2,1985.6,1985.6,9086.7,4990.1,2655.3
2016/9/30 1:00,4085.1,3020.5,3387.7,2417.8,2417.8,9380,5363.6,3103.4
2016/9/30 1:15,4473.8,3370.6,3708.4,2783.5,2783.5,9604.1,5669.3,3453.5
2016/9/30 1:30,4789.1,3691,3978.5,3138.8,3138.8,9820.5,5965.9,3780.5
2016/9/30 1:45,5053.2,3993.1,4218,3481.6,3481.6,10028,6251.3,4092.3
2016/9/30 2:00,5280.8,4280.8,4437.2,3812.9,3812.9,10227,6526.8,4391.7
2016/9/30 2:15,5483.4,4558.1,4643.3,4135.7,4135.7,10421,6795.2,4682
2016/9/30 2:30,5668.3,4827.2,4840.6,4451.1,4451.1,10611,7057.6,4965.2
2016/9/30 2:45,5842.6,5090.4,5033.1,4760.1,4760.1,10798,7315,5243.2
2016/9/30 3:00,5995,5336.3,5209.5,5054,5054,10973,7558.5,5503.2
2016/9/30 3:15,6124.7,5565.2,5368.2,5335.2,5335.2,11139,7790.7,5747
2016/9/30 3:30,6238.3,5781.8,5514.9,5606.1,5606.1,11296,8013.7,5979.5
2016/9/30 3:45,6342.2,5990.6,5654.9,5868.9,5868.9,11449,8229.9,6205.1
2016/9/30 4:00,6437.7,6191,5788.7,6122.4,6122.4,11595,8437.9,6422.4
2016/9/30 4:15,6526.5,6383.5,5917.1,6367.2,6367.2,11735,8638.3,6631.9
2016/9/30 4:30,6610.4,6569,6041.3,6603.9,6603.9,11869,8831.6,6834.6
2016/9/30 4:45,6691,6748.3,6162.4,6833,6833,11998,9018.4,7031.1
2016/9/30 5:00,6765.8,6919.7,6277.8,7054,7054,12122,9198.2,7219.4
2016/9/30 5:15,6834.4,7085,6387.7,7270.9,7270.9,12243,9374.7,7402.3
2016/9/30 5:30,6899.3,7247.5,6494.7,7485.6,7485.6,12365,9550,7582.7
2016/9/30 5:45,6961.8,7408,6599.9,7698.4,7698.4,12487,9724.3,7761.4
2016/9/30 6:00,7028.4,7570.7,6708.9,7910.5,7910.5,12610,9898.9,7942.4
2016/9/30 6:15,7100.4,7731.9,6821.4,8115.8,8115.8,12729,10067,8121
2016/9/30 6:30,7175.7,7889.1,6935,8313,8313,12841,10229,8294.7
2016/9/30 6:45,7252.5,8040,7047.4,8500.9,8500.9,12946,10382,8461.3
2016/9/30 7:00,7328.1,8183.2,7156.4,8679.8,8679.8,13043,10526,8619.7
2016/9/30 7:15,7401.4,8320.5,7261.6,8852.5,8852.5,13137,10665,8772.1
2016/9/30 7:30,7473.1,8452.9,7363.9,9019.6,9019.6,13226,10799,8919.6
2016/9/30 7:45,7543.6,8581.5,7464,9182,9182,13313,10930,9063.1
2016/9/30 8:00,7614.8,8707.9,7563.7,9340.6,9340.6,13397,11057,9204.5
2016/9/30 8:15,7687.3,8832.4,7663.3,9495.4,9495.4,13479,11181,9343.6
2016/9/30 8:30,7760.6,8954.6,7762.4,9646.4,9646.4,13559,11302,9480.2
2016/9/30 8:45,7833.9,9074.2,7860.6,9793.7,9793.7,13636,11420,9613.8
2016/9/30 9:00,7901.3,9183.4,7950.5,9927.1,9927.1,13702,11524,9738
2016/9/30 9:15,7960.5,9281.4,8030.2,10049,10049,13756,11617,9852.3
2016/9/30 9:30,8013.6,9370.7,8102.4,10161,10161,13803,11702,9958.9
2016/9/30 9:45,8062.4,9453.8,8169.5,10267,10267,13845,11780,10060
2016/9/30 10:00,8102.4,9522.3,8225.1,10350,10350,13865,11837,10148
2016/9/30 10:15,8124.9,9555.1,8251,10391,10391,13845,11853,10209
2016/9/30 10:30,8135.7,9567.3,8258.9,10412,10412,13806,11848,10253
2016/9/30 10:45,8140.6,9573.1,8259.5,10430,10430,13764,11841,10292
2016/9/30 11:00,8139.6,9578.6,8258.9,10451,10451,13728,11837,10325
2016/9/30 11:15,8133.7,9584,8258.4,10472,10472,13692,11834,10354
2016/9/30 11:30,8123.9,9586.8,8256.7,10489,10489,13653,11827,10377
2016/9/30 11:45,8110.9,9584.9,8252.4,10497,10497,13607,11813,10396
2016/9/30 12:00,8099.5,9585.8,8251.5,10511,10511,13567,11804,10415
2016/9/30 12:15,8092,9591.4,8255.9,10529,10529,13532,11799,10437
2016/9/30 12:30,8085.9,9598.8,8262.9,10546,10546,13498,11795,10459
2016/9/30 12:45,8079.2,9605,8270,10562,10562,13464,11790,10479
2016/9/30 13:00,8072.4,9615.6,8280.7,10587,10587,13439,11794,10502
2016/9/30 13:15,8066.2,9631,8296.1,10617,10617,13421,11803,10526
2016/9/30 13:30,8060.5,9649,8314.2,10650,10650,13405,11815,10551
2016/9/30 13:45,8055.3,9667.8,8333.4,10682,10682,13391,11828,10576
2016/9/30 14:00,8074.4,9716,8381.3,10748,10748,13411,11875,10627
2016/9/30 14:15,8124.3,9796.4,8464,10843,10843,13461,11951,10705
2016/9/30 14:30,8198.2,9902.9,8574.7,10963,10963,13537,12052,10805
2016/9/30 14:45,8289.3,10028,8705.1,11102,11102,13633,12173,10920
2016/9/30 15:00,8378.6,10140,8823.5,11217,11217,13705,12270,11025
2016/9/30 15:15,8460.5,10241,8926.5,11326,11326,13772,12360,11122
2016/9/30 15:30,8537.5,10337,9020,11432,11432,13837,12449,11217
2016/9/30 15:45,8612.3,10432,9109.7,11540,11540,13905,12541,11313
2016/9/30 16:00,8685.9,10527,9196.5,11645,11645,13970,12629,11410
2016/9/30 16:15,8758.9,10619,9280.7,11747,11747,14033,12714,11505
2016/9/30 16:30,8831.3,10710,9363.2,11847,11847,14095,12798,11599
2016/9/30 16:45,8903.4,10800,9444.7,11946,11946,14157,12881,11693
2016/9/30 17:00,8972.8,10887,9523,12041,12041,14215,12960,11783
2016/9/30 17:15,9038.9,10970,9597.7,12133,12133,14271,13037,11870
2016/9/30 17:30,9102.7,11051,9670,12223,12223,14325,13112,11956
2016/9/30 17:45,9165,11131,9740.9,12311,12311,14379,13186,12040
2016/9/30 18:00,9224.3,11208,9809.1,12397,12397,14430,13257,12121
2016/9/30 18:15,9280.2,11280,9874,12478,12478,14477,13323,12197
2016/9/30 18:30,9333.5,11350,9936.4,12554,12554,14521,13386,12270
2016/9/30 18:45,9384.9,11416,9996.7,12627,12627,14561,13445,12340
2016/9/30 19:00,9436.7,11480,10057,12697,12697,14599,13501,12408
2016/9/30 19:15,9489.4,11544,10117,12764,12764,14635,13555,12475
2016/9/30 19:30,9542.7,11605,10178,12828,12828,14668,13607,12539
2016/9/30 19:45,9595.9,11664,10237,12890,12890,14699,13655,12602
2016/9/30 20:00,9648.9,11722,10296,12948,12948,14728,13701,12662
2016/9/30 20:15,9701.5,11778,10354,13006,13006,14757,13747,12721
2016/9/30 20:30,9753.9,11834,10411,13064,13064,14786,13792,12779
2016/9/30 20:45,9806,11890,10468,13120,13120,14814,13837,12837
2016/9/30 21:00,9857.8,11945,10525,13176,13176,14842,13881,12894
2016/9/30 21:15,9909.2,11999,10581,13232,13232,14871,13925,12951
2016/9/30 21:30,9960.4,12054,10637,13287,13287,14899,13969,13008
2016/9/30 21:45,10011,12108,10692,13342,13342,14927,14012,13064
2016/9/30 22:00,10060,12160,10746,13395,13395,14955,14054,13118
2016/9/30 22:15,10106,12210,10797,13446,13446,14981,14095,13170
2016/9/30 22:30,10150,12259,10847,13497,13497,15006,14135,13220
2016/9/30 22:45,10193,12307,10896,13546,13546,15030,14174,13270
2016/9/30 23:00,10234,12354,10944,13594,13594,15054,14212,13319
2016/9/30 23:15,10275,12400,10991,13641,13641,15078,14249,13367
2016/9/30 23:30,10316,12446,11038,13688,13688,15101,14285,13414
2016/9/30 23:45,10355,12491,11084,13733,13733,15123,14321,13460
2016/10/1 0:00,10397,12536,11131,13778,13778,15146,14357,13507
2016/10/1 0:15,10439,12583,11180,13824,13824,15169,14393,13555
2016/10/1 0:30,10484,12630,11229,13869,13869,15192,14428,13602
2016/10/1 0:45,10528,12676,11279,13914,13914,15215,14464,13650
2016/10/1 1:00,10575,12724,11331,13959,13959,15239,14500,13699
2016/10/1 1:15,10624,12773,11384,14005,14005,15264,14537,13748
2016/10/1 1:30,10675,12823,11438,14051,14051,15290,14575,13799
2016/10/1 1:45,10727,12873,11493,14097,14097,15316,14613,13849
2016/10/1 2:00,10777,12921,11547,14142,14142,15342,14650,13898
2016/10/1 2:15,10825,12969,11598,14187,14187,15367,14686,13945
2016/10/1 2:30,10872,13015,11649,14230,14230,15391,14721,13992
2016/10/1 2:45,10917,13060,11698,14273,14273,15415,14756,14038
2016/10/1 3:00,10962,13106,11747,14316,14316,15440,14791,14083
2016/10/1 3:15,11007,13151,11796,14359,14359,15464,14826,14129
2016/10/1 3:30,11050,13195,11844,14401,14401,15488,14861,14173
2016/10/1 3:45,11094,13240,11892,14443,14443,15513,14895,14218
2016/10/1 4:00,11141,13287,11943,14487,14487,15539,14932,14266
2016/10/1 4:15,11192,13337,11998,14532,14532,15567,14970,14316
2016/10/1 4:30,11246,13389,12056,14578,14578,15597,15009,14368
2016/10/1 4:45,11302,13441,12114,14625,14625,15627,15049,14420
2016/10/1 5:00,11355,13491,12170,14670,14670,15656,15087,14469
2016/10/1 5:15,11404,13538,12222,14713,14713,15683,15123,14516
2016/10/1 5:30,11451,13584,12272,14756,14756,15711,15160,14561
2016/10/1 5:45,11495,13629,12321,14799,14799,15738,15196,14606
2016/10/1 6:00,11537,13672,12367,14840,14840,15764,15230,14649
2016/10/1 6:15,11575,13711,12411,14877,14877,15786,15261,14688
2016/10/1 6:30,11611,13748,12452,14911,14911,15805,15289,14724
2016/10/1 6:45,11645,13782,12491,14941,14941,15821,15313,14758
2016/10/1 7:00,11681,13817,12533,14972,14972,15838,15338,14793
2016/10/1 7:15,11721,13855,12577,15006,15006,15857,15366,14831
2016/10/1 7:30,11763,13896,12625,15043,15043,15881,15397,14872
2016/10/1 7:45,11808,13940,12674,15082,15082,15907,15431,14915
2016/10/1 8:00,11851,13984,12722,15124,15124,15935,15467,14960
2016/10/1 8:15,11894,14029,12770,15168,15168,15966,15505,15005
2016/10/1 8:30,11935,14076,12818,15215,15215,16000,15547,15052
2016/10/1 8:45,11976,14125,12866,15265,15265,16038,15592,15102
2016/10/1 9:00,12013,14168,12908,15303,15303,16063,15625,15149
2016/10/1 9:15,12044,14201,12942,15330,15330,16078,15646,15188
2016/10/1 9:30,12071,14227,12969,15349,15349,16085,15660,15221
2016/10/1 9:45,12094,14247,12992,15362,15362,16086,15668,15250
2016/10/1 10:00,12111,14259,13010,15364,15364,16076,15665,15271
2016/10/1 10:15,12113,14235,12998,15323,15323,16024,15620,15265
2016/10/1 10:30,12107,14197,12974,15270,15270,15959,15561,15246
2016/10/1 10:45,12100,14164,12953,15230,15230,15908,15517,15230
2016/10/1 11:00,12090,14131,12933,15184,15184,15852,15466,15210
2016/10/1 11:15,12075,14095,12912,15137,15137,15794,15415,15185
2016/10/1 11:30,12058,14057,12888,15087,15087,15734,15361,15156
2016/10/1 11:45,12039,14015,12862,15033,15033,15669,15302,15124
2016/10/1 12:00,12019,13966,12830,14965,14965,15590,15229,15088
2016/10/1 12:15,12001,13911,12792,14889,14889,15505,15149,15048
2016/10/1 12:30,11982,13851,12749,14808,14808,15414,15064,15006
2016/10/1 12:45,11960,13787,12700,14724,14724,15320,14976,14960
2016/10/1 13:00,11937,13747,12670,14690,14690,15276,14937,14928
2016/10/1 13:15,11915,13732,12664,14683,14683,15260,14927,14909
2016/10/1 13:30,11895,13733,12675,14692,14692,15260,14932,14898
2016/10/1 13:45,11877,13740,12696,14703,14703,15262,14939,14890
2016/10/1 14:00,11872,13757,12731,14723,14723,15273,14955,14893
2016/10/1 14:15,11881,13786,12778,14752,14752,15293,14981,14906
2016/10/1 14:30,11903,13828,12838,14795,14795,15327,15020,14931
2016/10/1 14:45,11935,13882,12909,14854,14854,15378,15075,14965
2016/10/1 15:00,11964,13922,12968,14887,14887,15402,15105,14990
2016/10/1 15:15,11988,13953,13013,14915,14915,15422,15130,15010
2016/10/1 15:30,12008,13980,13050,14942,14942,15441,15153,15028
2016/10/1 15:45,12027,14007,13084,14972,14972,15463,15180,15048
2016/10/1 16:00,12053,14040,13123,15003,15003,15486,15207,15076
2016/10/1 16:15,12091,14078,13168,15035,15035,15510,15236,15110
2016/10/1 16:30,12136,14120,13217,15069,15069,15536,15266,15149
2016/10/1 16:45,12185,14163,13269,15104,15104,15564,15299,15188
2016/10/1 17:00,12237,14208,13322,15141,15141,15593,15332,15229
2016/10/1 17:15,12290,14253,13375,15178,15178,15623,15366,15271
2016/10/1 17:30,12345,14298,13429,15216,15216,15654,15401,15314
2016/10/1 17:45,12400,14345,13484,15256,15256,15687,15438,15358
2016/10/1 18:00,12447,14385,13530,15291,15291,15715,15470,15395
2016/10/1 18:15,12482,14418,13568,15322,15322,15739,15499,15425
2016/10/1 18:30,12510,14447,13599,15351,15351,15762,15525,15451
2016/10/1 18:45,12533,14474,13627,15379,15379,15783,15550,15476
2016/10/1 19:00,12558,14505,13659,15410,15410,15807,15578,15505
2016/10/1 19:15,12588,14538,13695,15441,15441,15832,15607,15537
2016/10/1 19:30,12622,14574,13734,15474,15474,15858,15636,15571
2016/10/1 19:45,12657,14610,13774,15506,15506,15885,15666,15605
2016/10/1 20:00,12688,14643,13811,15537,15537,15910,15695,15636
2016/10/1 20:15,12713,14675,13843,15571,15571,15938,15726,15666
2016/10/1 20:30,12735,14708,13874,15610,15610,15971,15763,15699
2016/10/1 20:45,12755,14745,13905,15654,15654,16009,15804,15735
2016/10/1 21:00,12774,14785,13936,15702,15702,16051,15849,15775
2016/10/1 21:15,12792,14825,13968,15748,15748,16091,15893,15814
2016/10/1 21:30,12810,14863,13999,15791,15791,16129,15934,15852
2016/10/1 21:45,12826,14900,14030,15832,15832,16165,15973,15888
2016/10/1 22:00,12849,14939,14065,15874,15874,16201,16012,15926
2016/10/1 22:15,12877,14981,14105,15917,15917,16239,16053,15968
2016/10/1 22:30,12910,15024,14149,15960,15960,16277,16094,16010
2016/10/1 22:45,12945,15068,14194,16002,16002,16314,16134,16053
2016/10/1 23:00,12986,15114,14243,16046,16046,16353,16176,16098
2016/10/1 23:15,13033,15162,14296,16089,16089,16391,16217,16145
2016/10/1 23:30,13083,15209,14350,16130,16130,16427,16256,16190
2016/10/1 23:45,13134,15255,14405,16168,16168,16460,16292,16234
2016/10/2 0:00,13184,15297,14457,16204,16204,16491,16325,16273
2016/10/2 0:15,13229,15338,14506,16243,16243,16526,16363,16314
2016/10/2 0:30,13273,15382,14555,16288,16288,16566,16405,16357
2016/10/2 0:45,13316,15430,14604,16338,16338,16612,16454,16405
2016/10/2 1:00,13361,15483,14656,16393,16393,16663,16507,16458
2016/10/2 1:15,13407,15537,14710,16449,16449,16714,16561,16512
2016/10/2 1:30,13455,15593,14766,16504,16504,16765,16614,16567
2016/10/2 1:45,13504,15647,14822,16557,16557,16814,16666,16621
2016/10/2 2:00,13546,15695,14871,16605,16605,16858,16712,16667
2016/10/2 2:15,13578,15736,14913,16649,16649,16898,16755,16707
2016/10/2 2:30,13605,15773,14949,16691,16691,16936,16795,16744
2016/10/2 2:45,13627,15808,14983,16731,16731,16972,16833,16779
2016/10/2 3:00,13647,15841,15015,16768,16768,17005,16868,16812
2016/10/2 3:15,13665,15871,15045,16800,16800,17033,16898,16840
2016/10/2 3:30,13681,15896,15073,16826,16826,17055,16923,16865
2016/10/2 3:45,13695,15916,15099,16846,16846,17072,16941,16884
2016/10/2 4:00,13706,15932,15121,16861,16861,17083,16955,16899
2016/10/2 4:15,13714,15943,15139,16873,16873,17091,16965,16909
2016/10/2 4:30,13720,15953,15156,16883,16883,17098,16974,16918
2016/10/2 4:45,13724,15961,15171,16892,16892,17104,16982,16926
2016/10/2 5:00,13730,15972,15188,16903,16903,17111,16991,16936
2016/10/2 5:15,13740,15984,15209,16914,16914,17119,17000,16948
2016/10/2 5:30,13753,15998,15231,16925,16925,17126,17010,16961
2016/10/2 5:45,13767,16012,15254,16936,16936,17134,17020,16973
2016/10/2 6:00,13784,16027,15279,16948,16948,17143,17030,16988
2016/10/2 6:15,13804,16044,15307,16961,16961,17153,17042,17004
2016/10/2 6:30,13826,16062,15335,16974,16974,17163,17054,17020
2016/10/2 6:45,13848,16080,15364,16988,16988,17174,17067,17037
2016/10/2 7:00,13874,16100,15395,17003,17003,17186,17081,17056
2016/10/2 7:15,13902,16122,15428,17020,17020,17200,17096,17076
2016/10/2 7:30,13932,16145,15463,17037,17037,17214,17112,17098
2016/10/2 7:45,13963,16169,15498,17055,17055,17230,17129,17120
2016/10/2 8:00,13992,16191,15532,17073,17073,17244,17145,17141
2016/10/2 8:15,14020,16213,15565,17089,17089,17258,17161,17161
2016/10/2 8:30,14047,16234,15595,17106,17106,17272,17176,17181
2016/10/2 8:45,14072,16254,15626,17122,17122,17286,17191,17200
2016/10/2 9:00,14087,16261,15644,17120,17120,17281,17188,17208
2016/10/2 9:15,14089,16253,15646,17105,17105,17263,17171,17204
2016/10/2 9:30,14081,16235,15638,17079,17079,17234,17145,17192
2016/10/2 9:45,14067,16210,15623,17047,17047,17200,17111,17175
2016/10/2 10:00,14047,16179,15604,17006,17006,17157,17070,17152
2016/10/2 10:15,14013,16115,15558,16926,16926,17075,16989,17104
2016/10/2 10:30,13972,16040,15501,16837,16837,16983,16899,17048
2016/10/2 10:45,13931,15973,15449,16764,16764,16908,16825,16997
2016/10/2 11:00,13887,15906,15398,16687,16687,16829,16747,16942
2016/10/2 11:15,13840,15838,15346,16609,16609,16748,16668,16884
2016/10/2 11:30,13790,15767,15292,16528,16528,16664,16585,16822
2016/10/2 11:45,13737,15693,15236,16441,16441,16575,16498,16756
2016/10/2 12:00,13686,15623,15183,16363,16363,16495,16419,16693
2016/10/2 12:15,13637,15558,15135,16290,16290,16420,16345,16632
2016/10/2 12:30,13588,15495,15090,16218,16218,16346,16272,16573
2016/10/2 12:45,13538,15432,15046,16146,16146,16272,16199,16512
