date,site1,site2,site3,site4,site5,site6,site7,OT
2016/7/1 0:00,899.28,834.18,816.41,805.15,956.69,720.9,720.9,1042
2016/7/1 0:15,833.37,858.48,853.5,845.06,1044.7,837.07,837.07,1439
2016/7/1 0:30,890.72,945.82,943.82,934.75,1122.1,959.78,959.78,1654
2016/7/1 0:45,934.31,1028.9,1030.8,1021.6,1207.8,1082.4,1082.4,1800.8
2016/7/1 1:00,1059,1190.6,1195.3,1185.1,1382.1,1276.9,1276.9,2036.4
2016/7/1 1:15,1096.8,1271.6,1280.5,1270.2,1470.6,1403.2,1403.2,2179.7
2016/7/1 1:30,1144.1,1362.2,1375,1364.5,1558.3,1534.8,1534.8,2305.2
2016/7/1 1:45,1191.6,1450.4,1466.7,1456.2,1646.6,1663.5,1663.5,2420.2
2016/7/1 2:00,1235.4,1535.5,1555.2,1544.7,1731,1788.9,1788.9,2528.5
2016/7/1 2:15,1278.6,1619.4,1642.4,1632,1813.8,1912.8,1912.8,2632.6
2016/7/1 2:30,1321.7,1702.6,1728.8,1718.5,1895.7,2035.5,2035.5,2734.3
2016/7/1 2:45,1364.8,1785.6,1814.8,1804.6,1977.5,2157.7,2157.7,2835.1
2016/7/1 3:00,1399.5,1859.8,1891.9,1882,2049.5,2271.3,2271.3,2923.5
2016/7/1 3:15,1430.2,1929.9,1964.9,1955.4,2115.8,2380.5,2380.5,3002
2016/7/1 3:30,1459.7,1998.1,2035.8,2026.7,2179.5,2487.2,2487.2,3074.7
2016/7/1 3:45,1490.6,2066.5,2106.7,2098,2243.8,2593,2593,3145.6
2016/7/1 4:00,1519.6,2132.2,2174.7,2166.5,2305.7,2695.6,2695.6,3213.6
2016/7/1 4:15,1547.8,2196.2,2241,2233.4,2365.8,2796.1,2796.1,3279.1
2016/7/1 4:30,1575.5,2259.1,2305.9,2298.8,2424.8,2894.6,2894.6,3342.7
2016/7/1 4:45,1603.3,2320.9,2369.7,2363.2,2482.9,2991.3,2991.3,3405.1
2016/7/1 5:00,1628.5,2379.9,2430.4,2424.7,2538.1,3084.9,3084.9,3463.6
2016/7/1 5:15,1652.7,2437.9,2490.3,2485.2,2591.5,3177.5,3177.5,3519.2
2016/7/1 5:30,1677.3,2496.3,2550.4,2546,2645.2,3270.1,3270.1,3573.8
2016/7/1 5:45,1701.9,2554.6,2610.4,2606.7,2698.7,3362.6,3362.6,3627.8
2016/7/1 6:00,1729.4,2615.3,2672.7,2669.7,2755.2,3456.7,3456.7,3685.8
2016/7/1 6:15,1757.7,2675.3,2734,2731.7,2812,3549.1,3549.1,3745.8
2016/7/1 6:30,1785.9,2733.8,2793.7,2792.1,2868,3639.1,3639.1,3806
2016/7/1 6:45,1812.9,2790,2850.9,2850.1,2921.9,3725.9,3725.9,3865
2016/7/1 7:00,1838.7,2843.9,2905.7,2905.7,2973.6,3809.8,3809.8,3921.1
2016/7/1 7:15,1863.8,2896.4,2959,2959.9,3023.8,3891.6,3891.6,3975.1
2016/7/1 7:30,1888.4,2947.8,3011.2,3012.9,3073.1,3971.8,3971.8,4027.5
2016/7/1 7:45,1913,2998.5,3062.6,3065.1,3121.7,4050.7,4050.7,4079
2016/7/1 8:00,1938.2,3049.2,3113.8,3117.2,3170.6,4128.9,4128.9,4130.9
2016/7/1 8:15,1963.5,3099.3,3164.4,3168.7,3219.3,4206.1,4206.1,4183.1
2016/7/1 8:30,1988.7,3148.8,3214.3,3219.4,3267.6,4282,4282,4235
2016/7/1 8:45,2013.5,3197.4,3263.3,3269.2,3315,4356.7,4356.7,4286.3
2016/7/1 9:00,2034.3,3241.1,3307.1,3313.8,3357.5,4425.2,4425.2,4331.9
2016/7/1 9:15,2052.9,3281.8,3347.7,3355.1,3396.5,4489.7,4489.7,4372.3
2016/7/1 9:30,2070.5,3320.5,3386.2,3394.3,3433.4,4551.2,4551.2,4409.4
2016/7/1 9:45,2088.3,3358.2,3423.7,3432.4,3469.6,4610.8,4610.8,4444.8
2016/7/1 10:00,2101.3,3389.4,3454.2,3463.4,3499.6,4661.6,4661.6,4473.5
